customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car
1;Laraine;Medendorp;F;1953-10-12;Executive Secretary;Health;Mass Customer;N;Yes
2;Eli;Bockman;Male;1980-12-16;Administrative Officer;Financial Services;Mass Customer;N;Yes
3;Arlin;Dearle;Male;1954-01-20;Recruiting Manager;Property;Mass Customer;N;Yes
4;Talbot;;Male;1961-10-03;;IT;Mass Customer;N;No
5;Sheila-kathryn;Calton;Female;1977-05-13;Senior Editor;n/a;Affluent Customer;N;Yes
6;Curr;Duckhouse;Male;1966-09-16;;Retail;High Net Worth;N;Yes
7;Fina;Merali;Female;1976-02-23;;Financial Services;Affluent Customer;N;Yes
8;Rod;Inder;Male;1962-03-30;Media Manager I;n/a;Mass Customer;N;No
9;Mala;Lind;Female;1973-03-10;Business Systems Development Analyst;Argiculture;Affluent Customer;N;Yes
10;Fiorenze;Birdall;Female;1988-10-11;Senior Quality Engineer;Financial Services;Mass Customer;N;Yes
11;Uriah;Bisatt;Male;1954-04-30;;Property;Mass Customer;N;No
12;Sawyere;Flattman;Male;1994-07-21;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No
13;Gabriele;Norcross;Male;1955-02-15;Developer I;Financial Services;High Net Worth;N;Yes
14;Rayshell;Kitteman;Female;1983-03-25;Account Executive;Financial Services;Affluent Customer;N;No
15;Erroll;Radage;Male;2000-07-13;Junior Executive;Manufacturing;Mass Customer;N;No
16;Harlin;Parr;Male;1977-02-27;Media Manager IV;n/a;Mass Customer;N;Yes
17;Heath;Faraday;Male;1962-03-19;Sales Associate;n/a;Affluent Customer;N;Yes
18;Marjie;Neasham;Female;1967-07-06;Professor;n/a;Affluent Customer;N;No
19;Sorcha;Keyson;Female;2001-04-15;Geological Engineer;Manufacturing;High Net Worth;N;No
20;Basile;Firth;Male;1980-08-13;Project Manager;Manufacturing;Mass Customer;N;No
21;Mile;Cammocke;Male;1980-09-20;Safety Technician I;Manufacturing;Affluent Customer;N;Yes
22;Deeanne;Durtnell;Female;1962-12-10;;IT;Mass Customer;N;No
23;Olav;Polak;Male;1995-02-10;;n/a;High Net Worth;N;Yes
24;Kim;Skpsey;Female;1977-12-03;Research Assistant I;Argiculture;Mass Customer;N;Yes
25;Geoff;Assaf;Male;1976-12-02;Accounting Assistant III;Financial Services;Mass Customer;N;Yes
26;Trixi;Ginnelly;Female;1978-06-10;Editor;Financial Services;Mass Customer;N;Yes
27;Garvin;Klees;Male;1978-09-25;Research Nurse;Health;Mass Customer;N;Yes
28;Fee;Zellmer;Male;1973-09-30;Senior Quality Engineer;Health;Affluent Customer;N;Yes
29;Mona;Sancraft;Female;1968-06-22;Safety Technician III;Manufacturing;Mass Customer;N;No
30;Darrick;Helleckas;Male;1961-10-18;;IT;Affluent Customer;N;Yes
31;Star;Praton;Female;1962-11-24;Staff Accountant III;Telecommunications;High Net Worth;N;Yes
32;Marion;Vanichkin;Female;1995-04-20;Legal Assistant;Manufacturing;Affluent Customer;N;No
33;Ernst;Hacon;Male;1957-06-25;Product Engineer;n/a;Affluent Customer;N;Yes
34;Jephthah;Bachmann;U;1843-12-21;Legal Assistant;IT;Affluent Customer;N;No
35;Margaretha;Strettle;Female;1963-09-28;Information Systems Manager;Health;High Net Worth;N;Yes
36;Lurette;Stonnell;Female;1977-11-09;VP Quality Control;n/a;Affluent Customer;N;No
37;Laurie;Dwerryhouse;Female;1985-12-22;Social Worker;Health;High Net Worth;N;No
38;Cordi;Merman;Female;1955-10-29;Senior Cost Accountant;Financial Services;Affluent Customer;N;No
39;Hunfredo;Smalley;Male;1979-04-16;Assistant Media Planner;Entertainment;Mass Customer;N;No
40;Tomasine;Jerche;Female;1981-10-27;Payment Adjustment Coordinator;Manufacturing;Affluent Customer;N;No
41;Basilius;Coupe;Male;1976-04-14;Food Chemist;Health;Mass Customer;N;No
42;Chiquita;Durnall;Female;1977-03-28;Accountant III;Manufacturing;Mass Customer;N;No
43;Indira;Belt;Female;1983-03-01;Director of Sales;Retail;Mass Customer;N;No
44;Neron;Verick;Male;1981-10-18;Assistant Media Planner;Entertainment;Affluent Customer;N;Yes
45;Trace;Woodhead;Male;1975-09-23;Senior Financial Analyst;Financial Services;Mass Customer;N;No
46;Kaila;Allin;Female;1972-02-26;;n/a;Affluent Customer;N;Yes
47;Matthew;Jeaycock;Male;1992-10-22;Registered Nurse;Health;Affluent Customer;N;No
48;Rebbecca;Casone;Female;1975-08-15;Biostatistician II;n/a;Mass Customer;N;Yes
49;Nolly;Ownsworth;Male;1994-01-26;VP Quality Control;n/a;Affluent Customer;N;No
50;Whitby;Schapero;Male;1980-10-01;Account Executive;Manufacturing;Mass Customer;N;Yes
51;Fidelio;Dilke;Male;1959-12-05;Computer Systems Analyst II;Retail;Mass Customer;N;No
52;Curran;Bentson;Male;1988-06-22;;Financial Services;Mass Customer;N;Yes
53;Agnella;Gocke;Female;1954-04-18;Software Test Engineer II;Financial Services;Mass Customer;N;No
54;Loralyn;Wonfor;Femal;1966-07-24;Sales Associate;Property;Mass Customer;N;Yes
55;Linc;Jillions;Male;1956-09-24;Paralegal;Financial Services;Affluent Customer;N;Yes
56;Reese;Ensor;Male;1996-07-04;VP Sales;Property;Mass Customer;N;Yes
57;Abba;Masedon;M;1988-06-13;Chief Design Engineer;n/a;Mass Customer;N;Yes
58;Dalenna;Pinnock;Female;1967-07-04;Office Assistant III;Financial Services;Affluent Customer;N;Yes
59;Niki;Heathcote;Male;2000-02-08;Physical Therapy Assistant;n/a;High Net Worth;N;No
60;Nadiya;Champerlen;Female;1970-02-04;;Manufacturing;Mass Customer;N;No
61;Kacey;Rowbottom;Female;1959-11-29;Help Desk Operator;Property;High Net Worth;N;No
62;Sorcha;Roggers;Female;1979-07-06;;IT;Mass Customer;N;Yes
63;Ebony;Zini;Female;1965-07-03;Senior Quality Engineer;Retail;Mass Customer;N;Yes
